goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go/benchmarks
cpu: Apple M3 Pro
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 234230342 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 231579542 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 230211117 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 230139433 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 232763792 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 230690383 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 229451492 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 230154683 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 230446758 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=exec-12         	       5	 231427775 ns/op	     190 B/op	       4 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 232829667 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 231995883 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 233631233 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 232611742 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 230235058 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 230136867 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 230029692 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 229464950 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 229857975 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=micropython_type=eval-12         	       5	 230733825 ns/op	     161 B/op	       5 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  96735333 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  97749367 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  97272733 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  98099225 ns/op	    1377 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  99283408 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	 100411667 ns/op	    1377 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  98764667 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  99002658 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  97312550 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=go-python-12                     	       5	  99535475 ns/op	     337 B/op	       7 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 189383650 ns/op	460809580 B/op	 5143953 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 185772800 ns/op	460810443 B/op	 5143957 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 187248650 ns/op	460809760 B/op	 5143954 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 185837408 ns/op	460810846 B/op	 5143955 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 190024742 ns/op	460809852 B/op	 5143955 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 187136258 ns/op	460809596 B/op	 5143952 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 191242783 ns/op	460809497 B/op	 5143952 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 195419600 ns/op	460809776 B/op	 5143954 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 197654783 ns/op	460809529 B/op	 5143951 allocs/op
BenchmarkFibRecursive/engine=gpython-12                       	       5	 189316467 ns/op	460809644 B/op	 5143953 allocs/op
PASS
ok  	github.com/gregfurman/micropython-go/benchmarks	38.143s
