goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go/benchmarks
cpu: Apple M3 Pro
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	     92408 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	     13958 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      9600 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      6675 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      6692 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      9617 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      6892 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      6908 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      7717 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=micropython-12         	       5	      7008 ns/op	     225 B/op	       4 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	    182350 ns/op	    2508 B/op	      18 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     89008 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	    104375 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     97308 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	    107625 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     87658 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     81508 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     91975 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     82933 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=go-python-12           	       5	     85833 ns/op	    1729 B/op	       8 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	     21850 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      7683 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      6408 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      5217 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      4950 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      4775 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      3775 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      5775 ns/op	   22224 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      4308 ns/op	   22233 B/op	      46 allocs/op
BenchmarkSimpleArithmetic/engine=gpython-12             	       5	      5067 ns/op	   22224 B/op	      46 allocs/op
PASS
ok  	github.com/gregfurman/micropython-go/benchmarks	0.614s
