goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkCallable/operation=eval-12         	       5	     37700 ns/op	     697 B/op	      17 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      7975 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5992 ns/op	     697 B/op	      17 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4900 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	     10842 ns/op	     697 B/op	      17 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      7683 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      7808 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5300 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4908 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4725 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4667 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	     10083 ns/op	     611 B/op	      17 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5600 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5033 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4775 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4683 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4867 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4517 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4608 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4483 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5658 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4492 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4492 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4508 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4958 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5267 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4475 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4450 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5083 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4492 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4883 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4833 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4683 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4717 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4867 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4683 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4542 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4783 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4575 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4733 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4517 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4617 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      5933 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4725 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4950 ns/op	     601 B/op	      16 allocs/op
