goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkEvalExec/Eval_expression-12         	       5	     21950 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      6567 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	     12492 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      7825 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	     10058 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      6067 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      6283 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      5633 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      5692 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Eval_expression-12         	       5	      5567 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     13917 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     12725 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     11417 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     16317 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     11950 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     11642 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     10233 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     10558 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     10408 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_statement-12          	       5	     12517 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     65342 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     14008 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     12125 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     14142 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     14017 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     12092 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     12350 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     14225 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     11917 ns/op	     152 B/op	       4 allocs/op
BenchmarkEvalExec/Exec_with_output-12        	       5	     11858 ns/op	     152 B/op	       4 allocs/op
PASS
ok  	github.com/gregfurman/micropython-go	0.218s
